Locus_ID,log2FoldChange
LOC105667527,0.317098225
LOC105667528,-0.19739938
LOC105667529,0.27503494
LOC105667530,0.202323151
LOC105667531,0.506748188
LOC105667532,0.001071162
LOC105667533,0.286659655
LOC105667534,0.197479771
LOC105667535,0.587858805
LOC105667536,-2.317367642
LOC105667537,0.491402418
LOC105667538,0.383190698
LOC105667539,0.638695517
LOC105667540,0.533054672
LOC105667541,0.184891103
LOC105667542,0.42298552
LOC105667543,0.121646452
LOC105667544,-1.647212479
LOC105667545,0.130218544
LOC105667546,0.055774239
LOC105667547,-0.187678709
LOC105667548,-1.596710236
LOC105667549,0.302078023
LOC105667550,-0.716543191
LOC105667551,0.335242051
LOC105667552,0.426544316
LOC105667553,0.094189067
LOC105667554,0.045987955
LOC105667555,-0.193145128
LOC105667556,0.354521227
LOC105667557,-0.202195551
LOC105667558,0.075732259
LOC105667559,0.140877022
LOC105667560,0.430315737
LOC105667561,0.086667463
LOC105667562,-0.3308835
LOC105667563,0.253955998
LOC105667564,0.090607669
LOC105667565,0.219691657
LOC105667566,-0.019353448
LOC105667567,0.53577824
LOC105667568,0.271361218
LOC105667569,0.554925019
LOC105667570,0.480103088
LOC105667571,0.598218959
LOC105667572,-0.18884347
LOC105667573,-0.368084065
LOC105667574,0.480973127
LOC105667575,0.275817707
LOC105667576,0.118363547
LOC105667577,0.536452117
LOC105667578,0.473215931
LOC105667579,0.733031232
LOC105667580,0.715323407
LOC105667581,-0.147236663
LOC105667582,-0.479414223
LOC105667583,-0.066354645
LOC105667584,-0.357705936
LOC105667585,-0.071113771
LOC105667586,0.458692049
LOC105667587,-0.029644129
LOC105667588,-0.128799012
LOC105667589,0.027937583
LOC105667590,-0.2883791
LOC105667591,-0.173966589
LOC105667592,0.243698598
LOC105667593,0.278069034
LOC105667594,0.09881949
LOC105667595,0.064695659
LOC105667596,0.204724811
LOC105667597,-0.133091276
LOC105667598,0.140864676
LOC105667599,0.327115241
LOC105667600,0.12487547
LOC105667601,0.378901643
LOC105667602,0.278971534
LOC105667603,0.052185721
LOC105667604,0.237541861
LOC105667605,-0.344070782
LOC105667606,-0.502909596
LOC105667607,0.755698922
LOC105667608,0.256816346
LOC105667609,-0.186016156
LOC105667610,0.23688652
LOC105667611,0.084025625
LOC105667613,0.10317003
LOC105667614,0.168043505
LOC105667615,0.574899488
LOC105667616,0.316242464
LOC105667617,0.279441501
LOC105667618,-0.084673222
LOC105667619,0.091078276
LOC105667620,0.087430282
LOC105667621,0.217852116
LOC105667622,0.028177362
LOC105667623,0.456562721
LOC105667624,0.444281336
LOC105667625,-0.210722965
LOC105667626,-0.268868351
LOC105667627,0.323946662
LOC105667628,-0.490266988
LOC105667629,0.472471548
LOC105667630,-0.330416729
LOC105667631,-0.140529839
LOC105667632,0.385872964
LOC105667633,0.596433571
LOC105667634,0.007036047
LOC105667635,0.629553465
LOC105667636,-0.363252104
LOC105667637,-0.521775321
LOC105667638,-0.186180493
LOC105667639,-0.802161083
LOC105667640,-0.144502108
LOC105667641,0.08071388
LOC105667642,0.003941841
LOC105667643,-0.2878841
LOC105667644,-0.230831773
LOC105667645,-0.0886466
LOC105667646,-0.19455402
LOC105667647,-0.236683231
LOC105667648,-0.100740763
LOC105667649,-0.213681283
LOC105667650,-0.086134284
LOC105667651,0.179054294
LOC105667652,-0.289407892
LOC105667653,0.556304435
LOC105667654,0.212060079
LOC105667655,0.066487288
LOC105667656,-0.20579896
LOC105667657,0.454549632
LOC105667659,0.513034718
LOC105667661,0.497306831
LOC105667662,0.435195906
LOC105667663,-0.035749814
LOC105667664,-0.207049823
LOC105667665,0.41824911
LOC105667666,-0.425954934
LOC105667667,-0.360578411
LOC105667668,-0.452822312
LOC105667669,0.260728401
LOC105667670,0.579114509
LOC105667671,-0.011919102
LOC105667672,-0.530792405
LOC105667673,-0.293943743
LOC105667674,0.127796929
LOC105667675,0.083954297
LOC105667676,-0.340768383
LOC105667677,-1.182061439
LOC105667678,0.119874575
LOC105667679,0.224977014
LOC105667680,0.181717414
LOC105667681,0.081837468
LOC105667682,0.335883664
LOC105667683,0.150335668
LOC105667684,0.507593692
LOC105667685,-0.351286248
LOC105667686,0.02835674
LOC105667687,0.020347075
LOC105667688,0.854905873
LOC105667689,-0.04015334
LOC105667690,0.169720942
LOC105667691,-0.334129937
LOC105667692,0.31316461
LOC105667693,0.357368426
LOC105667695,0.176419136
LOC105667696,-0.096602544
LOC105667697,-0.100692104
LOC105667698,0.097835052
LOC105667699,0.276936466
LOC105667700,0.259960761
LOC105667701,0.681179987
LOC105667702,0.445357482
LOC105667703,0.303807987
LOC105667704,0.190845446
LOC105667705,-0.204238541
LOC105667706,-0.049924674
LOC105667707,-0.149099614
LOC105667708,0.438926782
LOC105667709,0.18259797
LOC105667710,0.164463499
LOC105667711,-0.493570632
LOC105667712,0.921339718
LOC105667713,0.340025805
LOC105667714,0.659769843
LOC105667715,0.072844325
LOC105667716,0.842168593
LOC105667717,-0.075474781
LOC105667718,0.215993062
LOC105667719,0.062458418
LOC105667720,0.00514802
LOC105667721,0.153775554
LOC105667722,0.062053139
LOC105667723,0.079498344
LOC105667724,0.124709266
LOC105667725,0.348727551
LOC105667726,0.290416324
LOC105667727,0.035450851
LOC105667728,0.310045885
LOC105667729,0.316686847
LOC105667730,-0.339875465
LOC105667731,0.375344549
LOC105667732,0.122051368
LOC105667733,0.445282641
LOC105667734,0.20879921
LOC105667735,-0.395003535
LOC105667736,0.857494668
LOC105667737,0.14222531
LOC105667738,-0.480372588
LOC105667739,-0.29248002
LOC105667740,-0.135733102
LOC105667741,0.073469281
